"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.03.2025","132.345","132.005","132.588","131.776","14,19B","0,30%"
"20.03.2025","131.955","132.505","132.713","131.813","14,19B","-0,42%"
"19.03.2025","132.508","131.476","132.984","131.451","12,20B","0,79%"
"18.03.2025","131.475","130.832","131.834","130.722","10,99B","0,49%"
"17.03.2025","130.834","128.959","131.313","128.957","11,06B","1,46%"
"14.03.2025","128.957","125.647","129.194","125.647","14,57B","2,64%"
"13.03.2025","125.637","123.863","125.774","123.590","11,26B","1,43%"
"12.03.2025","123.864","123.507","124.048","122.969","8,25B","0,29%"
"11.03.2025","123.507","124.519","124.625","122.636","8,81B","-0,81%"
"10.03.2025","124.519","125.031","125.031","123.471","9,37B","-0,41%"
"07.03.2025","125.035","123.357","125.822","122.530","9,98B","1,36%"
"06.03.2025","123.358","123.048","124.112","122.681","10,06B","0,25%"
"05.03.2025","123.047","122.799","123.364","122.747","9,60B","0,20%"
"28.02.2025","122.799","124.798","124.916","122.659","24,87B","-1,60%"
"27.02.2025","124.799","124.768","125.497","124.352","12,55B","0,02%"
"26.02.2025","124.769","125.980","126.563","124.732","11,36B","-0,96%"
"25.02.2025","125.980","125.401","126.718","125.382","11,08B","0,46%"
"24.02.2025","125.401","127.129","127.275","125.162","10,15B","-1,36%"
"21.02.2025","127.128","127.601","127.654","126.483","11,09B","-0,37%"
"20.02.2025","127.601","127.309","127.871","127.063","10,64B","0,23%"
"19.02.2025","127.309","128.528","128.528","127.028","9,30B","-0,95%"
"18.02.2025","128.532","128.553","129.294","128.012","10,99B","-0,02%"
"17.02.2025","128.552","128.229","129.534","128.229","9,97B","0,26%"
"14.02.2025","128.219","124.849","128.482","124.849","12,56B","2,70%"
"13.02.2025","124.850","124.372","124.853","123.778","9,05B","0,38%"
"12.02.2025","124.380","126.513","126.513","124.116","14,63B","-1,69%"
"11.02.2025","126.522","125.571","126.886","125.570","11,24B","0,76%"
"10.02.2025","125.572","124.619","126.386","124.619","8,91B","0,76%"
"07.02.2025","124.619","126.219","126.524","124.320","10,95B","-1,27%"
"06.02.2025","126.225","125.531","126.399","125.249","10,03B","0,55%"
"05.02.2025","125.534","125.146","125.846","124.637","9,96B","0,31%"
"04.02.2025","125.147","125.964","125.964","124.694","9,78B","-0,65%"
"03.02.2025","125.970","126.135","126.473","125.566","9,55B","-0,13%"
"31.01.2025","126.135","126.914","127.532","126.057","10,24B","-0,61%"
"30.01.2025","126.913","123.433","127.169","123.432","11,69B","2,82%"
"29.01.2025","123.432","124.056","124.767","123.278","7,35B","-0,50%"
"28.01.2025","124.056","124.861","124.881","123.973","8,31B","-0,65%"
"27.01.2025","124.862","122.443","124.862","122.207","11,02B","1,97%"
"24.01.2025","122.447","122.483","122.908","122.196","7,78B","-0,03%"
"23.01.2025","122.483","122.965","123.958","122.159","9,49B","-0,40%"
"22.01.2025","122.972","123.345","123.865","122.926","9,98B","-0,30%"
"21.01.2025","123.338","122.850","123.462","122.290","7,82B","0,39%"
"20.01.2025","122.855","122.349","123.172","121.511","6,05B","0,41%"
"17.01.2025","122.350","121.258","122.674","121.074","10,24B","0,92%"
"16.01.2025","121.234","122.649","122.660","120.796","11,31B","-1,15%"
"15.01.2025","122.650","119.309","122.988","119.303","11,93B","2,81%"
"14.01.2025","119.299","119.007","119.451","118.223","9,35B","0,25%"
"13.01.2025","119.007","118.856","119.729","118.743","8,16B","0,13%"
"10.01.2025","118.856","119.781","120.052","118.732","9,26B","-0,77%"
"09.01.2025","119.781","119.625","120.145","119.502","6,61B","0,13%"
"08.01.2025","119.625","121.160","121.160","119.351","10,23B","-1,27%"
"07.01.2025","121.163","120.022","121.713","120.022","11,12B","0,95%"
"06.01.2025","120.022","118.534","120.322","118.534","9,69M","1,26%"
"03.01.2025","118.533","120.125","120.356","118.404","9,80M","-1,33%"
"02.01.2025","120.125","120.283","120.782","119.120","9,37M","-0,13%"
"30.12.2024","120.283","120.267","121.050","120.158","8,90M","0,01%"
"27.12.2024","120.269","121.078","121.609","120.252","8,94M","-0,67%"
"26.12.2024","121.078","120.767","121.612","120.428","8,34M","0,26%"
"23.12.2024","120.767","122.105","122.105","120.617","9,95M","-1,09%"
"20.12.2024","122.102","121.183","122.209","120.700","18,13M","0,75%"
"19.12.2024","121.188","120.768","121.770","120.768","13,68M","0,34%"
"18.12.2024","120.772","124.699","124.699","120.457","19,74M","-3,15%"
"17.12.2024","124.698","123.560","125.301","123.560","17,56M","0,92%"
"16.12.2024","123.560","124.610","124.956","123.495","11,07M","-0,84%"
"13.12.2024","124.612","126.102","126.290","124.578","11,76M","-1,13%"
"12.12.2024","126.042","129.587","129.587","125.829","13,45M","-2,74%"
"11.12.2024","129.593","128.228","130.899","127.362","13,17M","1,06%"
"10.12.2024","128.228","127.213","128.511","127.213","9,14M","0,80%"
"09.12.2024","127.210","125.946","127.542","125.946","9,37M","1,00%"
"06.12.2024","125.946","127.856","127.872","125.833","11,22M","-1,50%"
"05.12.2024","127.858","126.088","127.989","126.087","9,53M","1,40%"
"04.12.2024","126.087","126.139","126.720","125.828","9,39M","-0,04%"
"03.12.2024","126.139","125.235","126.417","125.233","9,99M","0,72%"
"02.12.2024","125.236","125.668","125.901","124.734","11,52M","-0,34%"
"29.11.2024","125.668","124.611","126.056","123.946","16,40M","0,85%"
"28.11.2024","124.610","127.667","127.668","124.390","12,83M","-2,40%"
"27.11.2024","127.669","129.923","130.283","127.669","12,32M","-1,73%"
"26.11.2024","129.922","129.043","130.361","129.042","9,75M","0,69%"
"25.11.2024","129.036","129.125","129.495","128.932","14,41M","-0,07%"
"22.11.2024","129.126","126.944","129.126","126.944","9,19M","1,74%"
"21.11.2024","126.922","128.197","128.197","126.594","10,27M","-0,99%"
"19.11.2024","128.197","127.768","128.579","127.235","9,10M","0,34%"
"18.11.2024","127.768","127.791","128.277","127.226","10,74M","-0,02%"
"14.11.2024","127.792","127.734","128.423","127.389","13,14M","0,05%"
"13.11.2024","127.734","127.698","128.100","126.869","12,69M","0,03%"
"12.11.2024","127.698","127.873","128.210","127.411","9,52M","-0,14%"
"11.11.2024","127.874","127.829","128.095","127.306","8,40M","0,03%"
"08.11.2024","127.830","129.647","129.647","126.973","13,18M","-1,43%"
"07.11.2024","129.682","130.341","131.319","129.406","10,52M","-0,51%"
"06.11.2024","130.341","130.613","130.670","128.822","10,54M","-0,24%"
"05.11.2024","130.661","130.515","130.769","129.692","8,56M","0,11%"
"04.11.2024","130.515","128.130","130.609","128.128","9,01M","1,87%"
"01.11.2024","128.121","129.718","129.902","128.070","9,90M","-1,23%"
"31.10.2024","129.713","130.639","130.798","129.642","9,07M","-0,71%"
"30.10.2024","130.639","130.730","131.027","130.473","7,33M","-0,07%"
"29.10.2024","130.730","131.214","131.765","130.693","7,64M","-0,37%"
"28.10.2024","131.213","129.894","131.421","129.894","7,14M","1,02%"
"25.10.2024","129.893","130.067","130.529","129.806","8,51M","-0,13%"
"24.10.2024","130.067","129.233","130.130","128.798","8,31M","0,65%"
"23.10.2024","129.233","129.949","129.949","128.589","7,96M","-0,55%"
"22.10.2024","129.951","130.346","130.346","129.094","8,22M","-0,31%"
"21.10.2024","130.362","130.499","131.124","130.157","7,77M","-0,11%"
"18.10.2024","130.499","130.793","131.725","130.121","8,68M","-0,22%"
"17.10.2024","130.793","131.716","131.716","129.902","7,09M","-0,73%"
"16.10.2024","131.750","131.045","132.233","130.780","10,28M","0,54%"
"15.10.2024","131.043","131.005","131.457","130.200","7,98M","0,03%"
"14.10.2024","131.005","129.992","131.220","129.729","8,50M","0,78%"
"11.10.2024","129.992","130.354","130.354","129.338","7,97M","-0,28%"
"10.10.2024","130.353","129.963","130.418","129.835","7,62M","0,30%"
"09.10.2024","129.962","131.510","131.520","129.719","9,22M","-1,18%"
"08.10.2024","131.512","132.016","132.016","130.371","9,09M","-0,38%"
"07.10.2024","132.018","131.792","132.943","131.676","7,70M","0,17%"
"04.10.2024","131.792","131.672","131.936","131.156","7,05M","0,09%"
"03.10.2024","131.672","133.514","133.514","131.176","9,82M","-1,38%"
"02.10.2024","133.515","132.495","134.922","132.495","9,40M","0,77%"
"01.10.2024","132.495","131.817","133.405","131.817","9,84M","0,51%"
"30.09.2024","131.816","132.761","133.120","131.816","9,13M","-0,69%"
"27.09.2024","132.730","133.010","133.923","132.628","9,34M","-0,21%"
"26.09.2024","133.010","131.595","133.313","131.594","11,62M","1,08%"
"25.09.2024","131.586","132.156","132.982","131.489","10,53M","-0,43%"
"24.09.2024","132.156","130.570","133.073","130.570","9,37M","1,22%"
"23.09.2024","130.568","131.065","131.065","130.100","9,14M","-0,38%"
"20.09.2024","131.065","133.121","133.128","130.907","13,61M","-1,55%"
"19.09.2024","133.123","133.748","134.759","133.123","9,25M","-0,47%"
"18.09.2024","133.748","134.960","135.203","133.748","9,79M","-0,90%"
"17.09.2024","134.960","135.118","135.118","134.180","7,31M","-0,12%"
"16.09.2024","135.118","134.885","135.715","134.870","6,71M","0,18%"
"13.09.2024","134.882","134.031","135.879","134.031","8,87M","0,64%"
"12.09.2024","134.029","134.677","134.777","133.591","7,00M","-0,48%"
"11.09.2024","134.677","134.319","135.087","133.757","7,95M","0,27%"
"10.09.2024","134.320","134.738","134.738","133.754","8,25M","-0,31%"
"09.09.2024","134.737","134.574","135.250","134.399","6,59M","0,12%"
"06.09.2024","134.572","136.508","136.653","134.476","7,56M","-1,41%"
"05.09.2024","136.502","136.112","136.656","135.959","7,53M","0,29%"
"04.09.2024","136.111","134.359","136.838","134.359","9,42M","1,31%"
"03.09.2024","134.353","134.907","135.011","134.171","8,80M","-0,41%"
"02.09.2024","134.906","136.004","136.004","134.497","5,53M","-0,81%"
"30.08.2024","136.004","136.041","136.139","134.910","18,40M","-0,03%"
"29.08.2024","136.041","137.349","137.370","135.858","8,39M","-0,95%"
"28.08.2024","137.344","136.776","137.469","135.746","7,46M","0,42%"
"27.08.2024","136.776","136.888","137.213","136.664","6,75M","-0,08%"
"26.08.2024","136.889","135.608","137.013","135.596","7,56M","0,94%"
"23.08.2024","135.608","135.174","136.478","135.174","8,65M","0,32%"
"22.08.2024","135.173","136.462","136.462","134.836","8,05M","-0,95%"
"21.08.2024","136.464","136.088","137.040","136.086","9,57M","0,28%"
"20.08.2024","136.087","135.779","136.330","135.312","8,11M","0,23%"
"19.08.2024","135.778","133.953","136.179","133.953","11,28M","1,36%"
"16.08.2024","133.953","134.154","134.781","133.852","10,87M","-0,15%"
